종목명,ROE(자본수익률),EV/EABITDA(이익수익률),상승률,상승/하락,2019시초가,현재가
KR모터스,n/a,n/a,1.04,상승,505,525
KSS해운,8.73,8.67,1.08,상승,6480,7000
KTB투자증권,6.73,n/a,0.995,하락,3005,2990
KTH,0.43,5.67,0.937,하락,4815,4510
KTcs,7.3,6.54,0.922,하락,2490,2295
KTis,4.92,6.72,0.986,하락,2495,2460
KT서브마린,n/a,9.9,1.2,상승,3205,3845
LF,7.35,4.51,0.876,하락,25050,21950
LG,10.96,5.83,1.128,상승,69400,78300
LG디스플레이,n/a,3.68,0.967,하락,18100,17500
LG상사,n/a,8.76,1.078,상승,15350,16550
LG생활건강,20.98,15.65,1.184,상승,1106000,1309000
LG유플러스,7.97,4.26,0.827,하락,17650,14600
LG이노텍,8.02,4.54,1.13,상승,87200,98500
LG전자,9.03,4.09,1.305,상승,63300,82600
LG하우시스,n/a,7.78,1.019,상승,56600,57700
LG화학,8.86,7.77,0.972,하락,351000,341000
LIG넥스원,0.71,18.82,0.937,하락,37100,34750
LPK로보틱스,n/a,n/a,0.471,하락,2975,1400
LS,13.73,8.69,0.969,하락,49400,47850
LS네트웍스,2.59,43.18,1.309,상승,2510,3285
LS산전,10.78,5.54,0.991,하락,49150,48700
LS전선아시아,8.18,8.81,1.322,상승,5680,7510
MH에탄올,n/a,20.9,1.127,상승,5890,6640
MP그룹,n/a,57.72,1.0,보합,1315,1315
MP한강,11.8,15.84,0.753,하락,1520,1145
NAVER,12.97,17.29,0.934,하락,121000,113000
NEW,n/a,n/a,1.507,상승,4385,6610
NE능률,n/a,7.17,1.366,상승,2825,3860
NHN벅스,8.57,11.58,1.212,상승,5760,6980
NHN한국사이버결제,15.47,8.58,1.206,상승,11900,14350
NH투자증권,7.31,n/a,1.069,상승,13100,14000
NICE,10.01,4.96,1.218,상승,18100,22050
NICE평가정보,20.71,11.27,1.491,상승,10900,16250
NI스틸,9.98,5.82,1.261,상승,2280,2875
OCI,3.06,6.84,0.875,하락,107500,94100
PN풍년,3.67,9.68,1.094,상승,2245,2455
RFHIC,17.22,18.49,1.146,상승,25000,28650
S&K폴리텍,11.67,3.6,1.446,상승,3630,5250
S&TC,0.78,488.0,1.139,상승,11150,12700
S&T모티브,7.77,5.74,1.66,상승,26800,44500
S&T중공업,3.27,7.9,0.997,하락,7200,7180
S&T홀딩스,4.36,9.06,1.062,상승,13000,13800
S-Oil,3.88,17.07,0.869,하락,97300,84600
SBI인베스트먼트,3.11,n/a,1.208,상승,686,829
SBI핀테크솔루션즈,28.62,13.19,0.883,하락,16300,14400
SBS,0.87,11.33,1.128,상승,19850,22400
SBS미디어홀딩스,1.62,17.12,1.105,상승,2055,2270
SBS콘텐츠허브,5.42,21.37,1.182,상승,4990,5900
SCI평가정보,10.01,26.14,1.27,상승,2035,2585
SDN,3.24,20.11,0.912,하락,1655,1510
SFA반도체,4.86,4.75,2.321,상승,1370,3180
SG,21.35,11.01,0.782,하락,11350,8880
SG&G,n/a,26.29,0.854,하락,2430,2075
SGA,n/a,n/a,0.942,하락,1083,1020
SGA솔루션즈,n/a,n/a,1.245,상승,1285,1600
SGA임베디드,n/a,n/a,0.859,하락,3400,2920
SG세계물산,3.43,31.92,1.322,상승,740,978
SG충방,2.59,20.95,0.669,하락,3100,2075
