종목명,ROE(자본수익률),EV/EABITDA(이익수익률)
삼화전기,14.29,17.49
삼화전자공업,n/a,1018.98
삼화콘덴서공업,63.52,6.3
삼화페인트공업,0.26,12.82
상보,n/a,12.26
상상인,37.93,4.83
상상인인더스트리,n/a,n/a
상상인증권,n/a,n/a
상신브레이크,4.91,5.42
상신이디피,17.57,7.92
상신전자,6.21,15.64
상아프론테크,10.55,9.88
상지카일룸,27.06,53.96
새로닉스,9.9,8.23
새론오토모티브,3.35,5.22
샘코,n/a,n/a
샘표,8.82,5.29
샘표식품,14.58,4.37
서린바이오,4.99,22.6
서부T&D,n/a,60.38
서산,n/a,97.27
서암기계공업,5.87,17.14
서연,n/a,9.22
서연이화,n/a,5.71
서연전자,n/a,9.27
서연탑메탈,n/a,19.5
서울도시가스,4.46,11.55
서울리거,n/a,126.21
서울반도체,10.1,6.95
서울식품공업,2.3,20.33
서울옥션,10.0,19.41
서울전자통신,n/a,303.25
서울제약,n/a,n/a
서원,7.47,13.77
서원인텍,3.15,7.44
서전기전,9.55,7.06
서진시스템,17.95,7.45
서진오토모티브,n/a,8.84
서플러스글로벌,17.46,4.46
서한,14.41,2.87
서호전기,8.88,8.92
서흥,9.47,8.55
서희건설,13.22,2.38
선광,3.42,6.64
선데이토즈,7.51,19.41
선도전기,n/a,31.66
선바이오,n/a,310.5
선익시스템,5.9,6.86
선진,5.61,12.44
선창산업,n/a,21.92
성광벤드,n/a,n/a
성도이엔지,8.15,3.4
성문전자,0.7,22.42
성보화학,3.89,34.13
성신양회,4.38,8.52
성안,n/a,124.23
성우전자,7.97,2.54
성우테크론,12.14,4.24
성우하이텍,2.42,5.07
성창기업지주,n/a,n/a
성창오토텍,n/a,13.57
성호전자,n/a,13.15
세기상사,n/a,178.25
세동,n/a,12.58
세명전기,5.34,28.8
세미콘라이트,n/a,76.25
세방,5.47,11.19
세방전지,10.32,3.29
세보엠이씨,14.53,3.14
세아베스틸,1.14,8.3
세아제강,n/a,20.47
세아제강지주,29.05,8.46
세아특수강,3.56,5.22
세아홀딩스,1.72,8.66
세우글로벌,1.63,63.61
세운메디칼,11.79,9.86
세원,4.62,13.64
세원물산,3.21,2.33
세원셀론텍,n/a,n/a
세원정공,n/a,27.55
세이브존I&C,6.17,3.59
세종공업,n/a,6.07
세종머티리얼즈,n/a,66.32
세종메디칼,11.7,17.51
세종텔레콤,n/a,21.6
세중,n/a,34.83
세진중공업,1.13,18.24
세진티에스,n/a,346.47
세코닉스,n/a,6.62
세하,23.41,8.7
세화아이엠씨,n/a,n/a
세화피앤씨,4.46,31.62
셀루메드,n/a,n/a
셀리드,n/a,n/a
셀리버리,n/a,n/a
셀바스AI,n/a,n/a
셀바스헬스케어,n/a,n/a
셀젠텍,18.45,32.96
셀트리온,10.84,61.4
셀트리온제약,n/a,141.33
셀트리온헬스케어,0.68,n/a
소리바다,n/a,n/a
